,Company,Position
2487,Nordic Healthcare Group,Director
2488,Elo Health,CEO & Co-Founder
2489,Silicon Valley Arbitration & Mediation Center (SVAMC),Panel Member
2490,University of Helsinki,Viikki Innovation Platform Lead - Industrial Partnerships & Strategic Value Creation
2491,Tamlink,Business Director
2492,Donator Networks LLC,"Owner, President"
2493,Microsoft,Senior Counsel
2494,Nexit Ventures,General Partner
2495,Premortal,Creator
2496,Logicnap Oy,Vice President Of Business Development & Partnerships
2497,Inventure Oy,"Managing Director, Partner"
2498,Kaila Ventures LLC,Senior Business Consultant
2499,Schneider Electric,Solution Sales and Project Lead for large process OEM customers
2500,Hewlett Packard Enterprise,"Sales Manager, Finland & Baltics"
2501,Tesi (Finnish Industry Investment),Director
2502,Oy Erkki Paajanen Ab Consulting Ltd.,"Certified Management Consultant, CMC"
2503,Military Made Box,Founder & CEO
2504,University of Eastern Finland,Professor
2505,WRC Investment Holding Oy,Owner
2506,FNA,Founder & CEO
2507,Apprien,Chief Executive Officer
2508,Nexit Ventures,"Co-founder, General Partner"
2509,ExecNet Oy,Owner
2510,Keski-Suomen sairaanhoitopiiri (KSSHP) Central Finland Health Care District,"Palvelujohtaja, tuotannon palveluiden palvelualue, KSSHP"
2511,HappyOrNot Ltd.,CTO
2512,MAD-Partners,CEO / Founder
2513,Huawei Technologies,"Head of Partnerships(Ecosystems), Business development and Strategy"
2514,Housing Fair Finland,"Director, Brand & Insight & Experience"
2515,Sami Kangas Oy,Me
2516,LähiTapiola,Chairman Of The Board
2517, -,Retired. Looking for innovative voluntary activities.
2518,Sentica,Partner
2519,AImotive,Advisor
2520,TietoEVRY,Lead Business Consultant
2521,New Cable Corporation,CEO
2522,Liquido.vc,"Founder, #Startups, #Finance & #Funding  professional  "
2523,Business Finland,Senior Advisor
2524,Local Loop Oy,Founder and CEO
2525,Business Finland,Head of Talent Boost Finland (currently 6mths sabbatical / vuorotteluvapaalla)
2526,Cesim Oy,"Managing Director, Partner"
2527,ValueStep,Founder
2528,Western Economic Diversification Canada | Diversification de l’économie de l’Ouest Canada,"Senior Business Officer, Innovation"
2529,Comset® - Nordic Growth Oy,Partner
2530,Physilect Oy,Chairman of the Board of Directors
2531,City of Mikkeli,CIO
2532,Solita,Head Of Research
2533,Nordasia Partners Pte Ltd,Director
2534,Selected advisory and consulting projects,New Business Development
2535,Self-employed,Independent advisor
2536,DLA Piper,Partner
2537,"Frozenbyte, Inc.",CEO
2538,Linux Foundation,Executive Director
2539,Business Meeting Park Ltd.,"Chairman, Member of the Board"
2540,Musopia,Chairman Of The Board
2541,Business Finland,"Senior Advisor, funding"
2542,Noice,CEO and co-founder
2543,University of Eastern Finland,Postdoctoral Research Scientist
2544,Turck Vilant Systems,Senior Solution Engineer
2545,Lucky Medical (Shanghai) Technology Limited,Founder & General Manager
2546,BZMOL Oy,Partner
2547,Business Finland,Senior Advisor
2548,DappRadar,COO at DappRadar.com
2549,Prizztech Oy,CEO
2550,NORDIA Law Firm,Attorney/Partner
2551,CGI,"Lead Consultant, Regulatory Compliance and Risks, Banking"
2552,Rightware,CEO
2553,AirtaxyZ,Senior Advisor
2554,Abena Finland OY,Managing Director / CEO
2555,Rakettitiede Oy,Chairman Of The Board
2556,TENTO HEALTH™ ,"VP Business Development, North America"
2557,Tekes,Senior adviser
2558,Tech Export Finland Oy,Managing Director
2559,GLG - Gerson Lehrman Group,Council Member
2560,Raesmaa Consulting,"Owner, Entrepreneur"
2561,Several housing companies,Chairman Of The Board
2562,ESCP Business School,Adjunct Professor
2563,Elo Health,Community Manager & Health Coach
2564,Nordic Game Fund Management Oy,Place Holder
2565,Vulcan Vision,Senior Advisor & Board Member
2566,Kajala Group Ltd.,Owner
2567,Istekki Oy,Category Manager
2568,in4mo Ltd,CEO
2569,Unfair Advantage Ltd Oy,CEO
2570,Propellerhat,Entrepreneur 
2571,"UP THERE, EVERYWHERE","Member - UP THERE, EVERYWHERE"
2572,Vindician Capital,Partner
2573,Mikkeli Technology Centre Ltd.,Project Manager
2574,Ceili Oy,CEO
2575,Business Finland,Senior Advisor
2576,Tekes,Executive Director
2577,Suhdetoimisto Kram Oy,"Partner, CEO & Sales and Marketing"
2578,Fujitsu Finland,Head of Portfolio
2579,Business Finland,"Chief Adviser, Startup Companies"
2580,SSH Communications Security,"Vice President, Business Development"
2581,Ainetuntijat Oy,CEO
2582,San Francisco Agency,Founder & CEO
2583,Business Finland,Senior Advisor
2584,Tekes,M.Sc. (Eng.)
2585,The Boston Consulting Group (BCG),Commercial Director CEMA
2586,Vector Gems Tech Pte. Ltd,Founder
2587,EK – Confederation of Finnish Industries – Elinkeinoelämän keskusliitto EK,Director
2588,AISpotter Oy,CEO
2589,Aalto University,Innovation Advisor
2590,Business Finland,"Senior Director, Fast Growth Acceleration Services"
2591,Tobaia,Founder
2592,Sabbatical,Planning next steps
2593,Critical Force,"CEO, Founder and Chairman of the Board at Critical Force"
2594,CommaC FZE Dubai ,Founder
2595,DAOventures,Co-Founder
2596,Gearshift Group,"Founding Partner, Chairman of the Board"
2597,Nordea,"Head of Marketing, Finland"
2598,EY,"Senior Manager,Global Operations,Global Compliance and Reporting"
2599,JAMK University of Applied Sciences,Senior Lecturer of Game Development
2600,Business Sweden,"Director, Invest Advisory Asia Pacific"
2601,Frogmind,"COO, CMO"
2602,"Tekes, National Technology Agency","Program Manager, Smart City"
2603,Play Ventures,Venture Partner
2604,Wolfcorner,CEO
2605,Icareus Ltd,CEO & Co-founder
2606,Business Finland,Financial Advisor
2607,Business Finland,Head of Marketing
2608,CGI,Director Consulting Services
2609,HUS Helsingin yliopistollinen sairaala,Technology Officer
2610,Continuent,"Founder, President and CEO"
2611,Business Finland,Chief Adviser
2612,Business Finland,Senior Adviser
2613,Business Finland,Chief Advisor
2614,Business Finland,Head Of Marketing
2615,Sitra,"Project Director, Circular economy"
2616,Business Finland,Senior Advisor
2617,Mertanen Analytics Oy,Analytics Consultant / Digital Consultant
2618,Business Finland,Head of International Innovation Partnerships
2619,Era Content,Content Director
2620,Tekes,Senior Technical Adviser
2621,Business Finland,Senior Technology Adviser
2622,Business Finland,Senior Advisor
2623,University of Jyväskylä,Head of research management
2624,University of Helsinki,Head of Communication
2625,Innovation Heaven Oy,Founder and CEO
2626,Business Finland,"Senior Director, Startup Funding"
2627,City of Pori,"Director, Economic Development and Growth"
2628,Inbot,"Founder, CEO"
2629,Vaadin,CEO
2630,Deloitte,"Director, Cyber Risk"
2631,Stella Polare Capital Partners,Head Of Innovation
2632,Yle,Service Manager
2633,TipCup Oy,"Founder, CEO"
2634,...,Retired
2635,Asqella,Board Member
2636,Morgan Digital Oy Ab,Digital Marketing Specialist
2637,,
2638,Bureau Real Estate Finland Oy,CEO
2639,Business Finland,"Director, Funding"
2640,Business Finland,"Senior Director, Global Initiatives"
2641,Business Finland,"Senior Director, Head of SME Funding"
2642,Haaga-Helia University of Applied Sciences,Senior Lecturer
2643,Softability Group Oy,Senior Software Engineer
2644,FINAS-akkreditointipalvelu,lead assessor
2645,Forum Virium Helsinki,"Program Director, IoT and Data"
2646,AREX Finland,Angel investor
2647,Zentyal,Founder
2648,Vapo Oy,Head of ICT Service Development
2649,Parking Energy Ltd,Founder
2650,Gofore,People Person
2651,Kolster Oy Ab,Head of Sales and Marketing
2652,Nordic Innovation House - Singapore,Board Member
2653,Business Finland,"Senior Director, Accounts & Industry, ICT"
2654,Atos,Global DC Program Director
2655,Genelec Oy,Customer Solutions
2656,LudoCraft Ltd.,"CEO (producer & lead designer), partner"
2657,Nightingale Health Ltd.,Chief Product Officer
2658,Kokoomus,Board Member
2659,King,VP Tech Product
2660,Neogames Finland,Chief Business Advisor
2661,SprintIT,Project Manager
2662,Cambridge Consultants,Senior Consultant
2663,Arctic Ideas Consulting,Management Consultant
2664,Metropolia University of Applied Sciences,Senior Lecturer on Entrepreneurship
2665,Progress,Senior Product Manager
2666,OpusCapita,Head Of Product Marketing
2667,Business Development Professional helping growth companies,Founder & CEO
2668,Eficode,Executive Vice President
2669,KPMG Oy Ab,Legal Counsel
2670,AMORQA,Founder & CEO
2671,Remedy Entertainment,CEO
2672,Keski-Uudenmaan koulutuskuntayhtymä Keuda,Teacher
2673,Sinoreach Consulting,Chairman of the Board
2674,https://neubit.fi,"Co-Founder, CTO"
2675,Siili Solutions,Site Manager
2676,Zapflow,Founder & CEO 
2677,CrossFit Holistic,Founder
2678,Mapromec Oy,Managing Director
2679,Cluster Navigators Ltd,CEO
2680,Whip Wham,Founding Partner
2681,Accelerando,"Partner, co-founder"
2682,Business Finland,Senior Advisor
2683,Blockhearts,Chief Avatar Officer
2684,Planet,Program Manager
2685,Schibsted,"CEO, Nordic Marketplaces Finland"
2686,BON Games,"CEO, co-founder"
2687,Business Finland,Senior Director Business Development
2688,Staffpoint S.L.U.,Apumies
2689,Business Finland,"Senior Director, Grants"
2690,Helsinki Games Capital Ry,Chairman Of The Board
2691,Spatineo Inc.,Chairman & Founder
2692,Waria,Co-operative
2693,Dingle Oy,Board Member
2694,Huuuge Games,CEO
2695,Kellokortti.fi (Aacon Oy),Managing Director
2696,RPT-Plan Oy,Partner
2697,Alpha Design Partners,Co-Founder
2698,EIT Digital,Business Developer
2699,Business Finland,Senior Manager
2700,NREP,"Director, Head of Nordic Residential Products and Operations"
2701,Altran,"Deputy COO, Group World Class Centers"
2702,52nd Ventures,Chairman Of The Board
2703,Utopos Games,"Founder, CEO, Programmer"
2704,Top Finance,Group Chief Technology Officer
2705,Parva Fennica Oy,Chief Executive Officer
2706,SIP Renovations Inc,Owner
2707,Tekes,Business Adviser
2708,LUT School of Business and Management,Senior expert
2709,Business Finland,Head of International Innovation Collaboration
2710,Tesi (FII) ,Investment Director
2711,Data-Driven Innovation Initiative,"Executive Director, Data Driven Innovation, University of Edinburgh"
2712,Lexia Attorneys,"Partner, Attorney"
2713,LifeDataWorks,Co-Founder
2714,Culminatum Ltd Oy,Program Director /Ubiquitous Computing Cluster
2715,Oivan,"Co-Founder, VP Business Development"
2716,Huawei Suomi Finland ,Senior Business Development Manager | Huawei Mobile Services at Huawei Consumer Business Group
2717,Digital Nature,Co-Founder & COO
2718,HBE Oy,Entrepreneur & Investor
2719,FinEst Bay Area,Founder
2720,GENPACT,Director
2721,MeBlitz OU,CEO / Technology Business Evangelist at MeBlitz OU
2722, -,Free agent ready for idea coaching etc. challenges
2723,Microsoft,Partner Tech Lead
2724,"National technology agency, Tekes",Senior technology adviser
2725,Open to ideas and business proposals.,Tech market research. Innovation projects. Experienced country manager.
2726,Technopolis Plc,Chief Marketing Officer
2727,"Nordea Bank Finland Plc, Group AML Sanctions/KYC",Head of AML Remediation Finland
2728,Avoin Puolue,Chair of Open Party (Avoin Puolue)
2729,metacore,"Co-Founder, COO"
2730,Seven Summits,Consultant & Motivational / Keynote Speaker
